Wikidata ID	Wikipedia URL	Entity label	Object count	Predicted count	CRF prob	Mention type	Text evidence
Q202735	https://en.wikipedia.org/wiki?curid=4471	Billy%20Bob%20Thornton	6	6	0.125242	cardinal	Thornton has married [six] times , with the first five marriages ending in divorce , and he has five children by three women .
Q2545982	https://en.wikipedia.org/wiki?curid=6418127	Vladimir%20Etush	4	4	0.240715	cardinal	Etush has been married [four] times .
Q3097958	https://en.wikipedia.org/wiki?curid=476159	Janet%20Lee%20Bouvier	3	3	0.132106	ordinal	Her second husband in 1942 was Hugh Dudley Auchincloss , Jr. , an attorney and Standard Oil heir ; she was his [third] wife .
Q468806	https://en.wikipedia.org/wiki?curid=310343	Imperio%20Argentina	2	2	0.240796	cardinal	She was married [2] times .
Q6837195	https://en.wikipedia.org/wiki?curid=16284539	Michelle%20Paige%20Paterson	2	2	0.152123	ordinal	She has been married to David Paterson since November 21 , 1992 ; he is her [second] husband .
Q7914625	https://en.wikipedia.org/wiki?curid=26243304	Vanessa%20Claire%20Stewart	2	1	0.115491	ordinal	She moved to Los Angeles in 1999 where she met and married her [first] husband , Lance Arthur Smith .
Q86396	https://en.wikipedia.org/wiki?curid=32015046	Hannelore%20Schroth	3	3	0.128192	ordinal	Her [third] marriage to a lawyer produced a son , Christopher Kantapper Köster -LRB- 1953 -- 2012 -RRB- .
Q3507232	https://en.wikipedia.org/wiki?curid=7837125	Sylvia%20Wynter	2	2	0.119368	ordinal	In 1958 Wynter met the Guyanese novelist Jan Carew , who became her [second] husband .
Q957754	https://en.wikipedia.org/wiki?curid=2003787	Jack%20Weston	2	2	0.130122	ordinal	His [second] marriage was to Laurie Gilkes and lasted until his death from lymphoma on April 3 , 1996 , after a six-year struggle .
Q5092690	https://en.wikipedia.org/wiki?curid=2317403	Cheryl%20Barrymore	1	1	0.187152	ordinal	After her [first] marriage to Greg Smith failed , Cheryl took part in several West End theatre shows ; during one of which she met entertainer Michael Barrymore in 1974 .
Q75163	https://en.wikipedia.org/wiki?curid=9896297	Lotte%20Ulbricht	2	1	0.111335	ordinal	In 1931 , she emigrated to Moscow with her [first] husband , Erich Wendt .
Q247209	https://en.wikipedia.org/wiki?curid=3490015	Ulrich%20V%2C%20Count%20of%20W%C3%BCrttemberg	3	3	0.265071	cardinal	He was married [three] times :
Q2082875	https://en.wikipedia.org/wiki?curid=5038124	Yolande%20of%20Dreux%2C%20Queen%20of%20Scotland	2	2	0.195973	ordinal	Through her [second] marriage to Arthur II , Duke of Brittany , she became Duchess Consort of Brittany .
Q6375552	https://en.wikipedia.org/wiki?curid=2052981	Kate%20Humble	1	1	0.106358	cardinal	Katherine `` Kate '' Humble -LRB- born 12 December 1968 -RRB- is [an] English television presenter , mainly for the BBC , specialising in wildlife and science programmes .
