Wikidata ID	Wikipedia URL	Entity label	Object count	Predicted count	CRF prob	Mention type	Text evidence
Q451330	https://en.wikipedia.org/wiki?curid=467111	Ivan Matveevich Vinogradov	0	0	0.194486	cardinal	He was married [0] time and was very attached to his dacha in Abramtsevo , where he spent all his weekends and vacations -LRB- together with his sister Nadezhda , also unmarried -RRB- enjoying flower gardening .
Q57074	https://en.wikipedia.org/wiki?curid=335262	Nelly Sachs	0	0	0.125651	cardinal	She grew up as a very sheltered , introverted young woman and married [0] time .
Q235343	https://en.wikipedia.org/wiki?curid=10430	Genshō	0	0	0.32658	cardinal	She married [0] time and had no children .
Q3179580	https://en.wikipedia.org/wiki?curid=6706417	Joan Evans	0	0	0.39489	cardinal	Evans married [0] time .
Q1562890	https://en.wikipedia.org/wiki?curid=20927948	Mir-Jam	0	0	0.194486	cardinal	Although she frequently wrote about marriage , she was married [0] time .
Q263067	https://en.wikipedia.org/wiki?curid=1128860	Evelyn Beatrice Hall	0	0	0.394929	cardinal	Hall married [0] time , and died in Wadhurst , East Sussex , on 13 April 1956 , aged 87 .
Q42831	https://en.wikipedia.org/wiki?curid=180913	Ivan Turgenev	0	0	0.39491	cardinal	Turgenev married [0] time , but he had some affairs with his family 's serfs , one of which resulted in the birth of his illegitimate daughter , Paulinette .
Q313596	https://en.wikipedia.org/wiki?curid=204766	Leslie Cheung	0	0	0.194409	cardinal	Cheung was married [0] time .
Q4684366	https://en.wikipedia.org/wiki?curid=21445977	Adolph John II, Count Palatine of Kleeburg	0	0	0.32701	cardinal	As he married [0] time he was succeeded by his brother Gustavus Samuel Leopold .
Q6204593	https://en.wikipedia.org/wiki?curid=1849041	Joachim Lubomirski	0	0	0.326578	cardinal	He married [0] time .
Q5503563	https://en.wikipedia.org/wiki?curid=2261631	Frideborg Winblad	0	0	0.326602	cardinal	She married [0] time or had children .
Q43689	https://en.wikipedia.org/wiki?curid=1370	Ambrose	0	0	0.395156	cardinal	He was a very popular political figure , and since he was the Governor in the effective capital in the Roman West , he was a recognizable figure in the court of Valentinian I. Ambrose married [0] time .
Q4681673	https://en.wikipedia.org/wiki?curid=41376649	Adelaide Anne Procter	0	0	0.394881	cardinal	While several men showed interest in her , Procter married [0] time .
Q9353	https://en.wikipedia.org/wiki?curid=16143	John Locke	0	0	0.394907	cardinal	Locke married [0] time nor had children .
Q131149	https://en.wikipedia.org/wiki?curid=43421	Henry David Thoreau	0	0	0.394891	cardinal	Thoreau married [0] time and was childless .
Q301	https://en.wikipedia.org/wiki?curid=140639	El Greco	0	0	0.326555	cardinal	j. Doña Jerónima de Las Cuevas appears to have outlived El Greco , and , although the master acknowledged both her and his son , he married [0] time her .
Q905	https://en.wikipedia.org/wiki?curid=10858	Franz Kafka	0	0	0.394985	cardinal	Though Kafka married [0] time , he held marriage and children in high esteem .
Q7294	https://en.wikipedia.org/wiki?curid=16339	Johannes Brahms	0	3	0.500876	numterm	His admiration for Richard Mühlfeld , clarinettist with the Meiningen orchestra , revived his interest in composing and led him to write the Clarinet [Trio] , Op. 114 , Clarinet Quintet , Op. 115 -LRB- 1891 -RRB- , and the two Clarinet Sonatas , Op. 120 -LRB- 1894 -RRB- .
Q935	https://en.wikipedia.org/wiki?curid=14627	Isaac Newton	0	0	0.394881	cardinal	Although it was claimed that he was 1 time engaged , Newton married [0] time .
Q9381	https://en.wikipedia.org/wiki?curid=1814	Adam Smith	0	0	0.38937	cardinal	Smith states that the interest of manufacturers and merchants '' ... in any particular branch of trade or manufactures , is always in some respects different from , and even opposite to , that of the public ... The proposal of any new law or regulation of commerce which comes from this order , ought always to be listened to with great precaution , and ought be adopted [0] time till after having been long and carefully examined , not only with the most scrupulous , but with the most suspicious attention . ''
Q7207	https://en.wikipedia.org/wiki?curid=10128	Elizabeth I of England	0	0	0.192295	cardinal	By 1570 , senior figures in the government privately accepted that Elizabeth would marry [0] time or name a successor .
Q9358	https://en.wikipedia.org/wiki?curid=10671	Friedrich Nietzsche	0	0	0.39489	cardinal	Nietzsche married [0] time .
