Wikidata ID	Wikipedia URL	Entity label	Object count	Predicted count	CRF prob	Mention type	Text evidence
Q1043	https://en.wikipedia.org/wiki?curid=5233	Carl Linnaeus	7	1	0.213935	cardinal	Ten days after he was appointed Professor , he undertook [an] expedition to the island provinces of Öland and Gotland with six students from the university , to look for plants useful in medicine .
Q3852035	https://en.wikipedia.org/wiki?curid=1116257	Phương_Mai	2	2	0.321445	cardinal	On 5 August 1971 , in Paris , France , Princess Phương Mai married Pietro Badoglio , 2nd Duke of Addis Abeba and Marquess of Sabotino ; they had two children , [a] son and [a] daughter :
Q3358782	https://en.wikipedia.org/wiki?curid=1331488	Barbro_Holmberg	3	2	0.523306	numterm	Her marriage to radio journalist Thomas Nordegren produced three children : one son , Axel and [twins] Elin and Josefin .
Q2246813	https://en.wikipedia.org/wiki?curid=23615098	Princess_Elisabeth_of_Luxembourg_(1901–1950)	2	2	0.104848	cardinal	Elisabeth and Ludwig had [two] children , five grandchildren , sixteen great-grandchildren and three great-great-grandchildren :
Q258452	https://en.wikipedia.org/wiki?curid=6078774	Pinedjem_II	7	4	0.222578	cardinal	By Neskhons he had [four] children : two sons , Tjanefer and Masaharta , and two daughters , Itawy and Nesitanebetashru .
Q3487816	https://en.wikipedia.org/wiki?curid=21959065	Kunigunde_of_Poland	5	3	0.302803	cardinal	Kunigunde 's ancestors in [three] generations
Q1397516	https://en.wikipedia.org/wiki?curid=11499016	Wichmann_the_Elder	4	1	0.320983	article	She left him at least three sons and [a] daughter :
Q272321	https://en.wikipedia.org/wiki?curid=866668	He_Zizhen	6	6	0.170197	cardinal	He Zizhen had [three] daughters and [three] sons with Mao Zedong , but except for their daughter , Li Min , all of them either died young or were separated from the family .
Q4718348	https://en.wikipedia.org/wiki?curid=37137335	Alexander_Bening	2	2	0.164226	cardinal	Bening had [two] sons : Simon Bening , who was trained in his father 's craft , and Paul Bening , whose profession is unknown .
Q455766	https://en.wikipedia.org/wiki?curid=3744087	Johann_Rudolf_Zumsteeg	7	7	0.122044	cardinal	In 1783 , Zumsteeg married Luise Andreae with whom he had [seven] children .
Q4347931	https://en.wikipedia.org/wiki?curid=19315870	Signe_Hammarsten-Jansson	3	3	0.150705	cardinal	The couple had [three] children in total : Tove Jansson , Lars Jansson and Per Olov Jansson .
Q1872168	https://en.wikipedia.org/wiki?curid=35655062	Louise_Juliane_of_Erbach	6	6	0.222572	cardinal	From her marriage to Ernest , Count of Sayn-Wittgenstein-Sayn -LRB- 26 August 1594 -- 22 May 1632 -RRB- , she had [six] children :
Q18619134	https://en.wikipedia.org/wiki?curid=44445448	Marilyn_Ziering	4	4	0.321457	cardinal	The couple had [two] sons and [two] daughters : Michael Ziering , Ira Ziering , Rosanne Ziering , Amy Ziering .
Q271520	https://en.wikipedia.org/wiki?curid=6874696	Elizabeth_Granowska	5	5	0.108174	cardinal	It is believed that Elizabeth had [five] children with Wincenty Granowski :
Q1738852	https://en.wikipedia.org/wiki?curid=949193	Kenneth_Cope	3	3	0.122048	cardinal	They have [three] children .
Q661273	https://en.wikipedia.org/wiki?curid=1349485	Ottokar_II_of_Styria	3	3	0.207221	cardinal	Ottokar II was married in 1090 to Elisabeth , daughter of Leopold II of Austria and Ida of Formbach-Ratelnberg , and had [three] children :
