P527_Q7725310_manual	0	29	30	100	0.4915	0.2900	0.3648	4.9711	118	76	407	0.6082	0.2899	0.3927	29	4	26	659	13	1.97%
P527_Q7725310_manual_relaxed	0	55	4	100	0.9322	0.5500	0.6918	4.9711	118	76	407	0.6082	0.2899	0.3927	29	4	26	659	13	1.97%
P527_Q2088357_manual	0	18	10	100	0.6429	0.1800	0.2812	2.2599	38	32	68	0.5429	0.5588	0.5507	18	0	10	493	0	0.00%
P527_Q2088357_manual_relaxed	0	28	0	100	1.0000	0.2800	0.4375	2.2599	38	32	68	0.5429	0.5588	0.5507	18	0	10	493	0	0.00%
P150_manual	0	44	12	192	0.7857	0.2292	0.3548	5.2474	58	22	70	0.7250	0.8286	0.7733	44	1	11	3417	1	0.03%
P150_manual_relaxed	0	55	1	192	0.9821	0.2865	0.4435	5.2474	58	22	70	0.7250	0.8286	0.7733	44	1	11	3417	1	0.03%
P40_manual	0	39	39	200	0.5000	0.1950	0.2806	5.2122	72	60	162	0.5455	0.4444	0.4898	39	7	32	727	21	2.89%
P40_manual_relaxed	0	71	7	200	0.9103	0.3550	0.5108	5.2122	72	60	162	0.5455	0.4444	0.4898	39	7	32	727	21	2.89%
P26_manual	0	25	18	197	0.5814	0.1269	0.2083	0.9022	39	28	57	0.5821	0.6842	0.6290	25	6	12	281	7	2.49%
P26_manual_relaxed	0	37	6	197	0.8605	0.1878	0.3083	0.9022	39	28	57	0.5821	0.6842	0.6290	25	6	12	281	7	2.49%
