Q7776231	https://en.wikipedia.org/wiki?curid=19799478	The Worthing series	4	4	0.269522	cardinal	It consists of [two] anthologies and [two] novels .
Q3539199	https://en.wikipedia.org/wiki?curid=9136618	Black Triad trilogy	3	3	0.969172	numterm	Grady Hendrix -LRB- `` New York Sun '' -RRB- , commented on the [Trilogy] , noting that `` the three movies that make up his loosely related Black Society Trilogy are the work of a socially committed , ferociously intelligent director - albeit one who still takes time out from raging against the machine for raunchy sex jokes and blunt-force trauma . ''
Q3822522	https://en.wikipedia.org/wiki?curid=5936963	The Genesis of Shannara	3	2	0.138625	cardinal	These novels bridge the `` Word & Void series '' with the `` Legends of Shannara '' series , [two] other of Brooks ' productions .
Q5755341	https://en.wikipedia.org/wiki?curid=2520466	High Druid of Shannara	3	3	0.716107	numterm	The first novel in the `` High Druid '' [trilogy] chronicles the banishment of Grianne Ohmsford , the High Druid , to the dark world of the Forbidding by Shadea a ` Ru through the employment of a magic known as `` liquid night '' .
Q16862645	https://en.wikipedia.org/wiki?curid=4716908	The Sword of Shannara Trilogy	3	3	0.931177	numterm	Few characters appear in more than one novel in the [trilogy] , though many references to previous characters are evident .
Q5739185	https://en.wikipedia.org/wiki?curid=842487	Heritage of Shannara	4	4	0.672371	cardinal	The Heritage of Shannara is a series of [four] fantasy novels by Terry Brooks , set hundreds of years after the original `` Shannara '' trilogy .
Q7339356	https://en.wikipedia.org/wiki?curid=10431605	Road Movie trilogy	3	3	0.853665	numterm	Director Wim Wenders did n't conceive of the three films as a [trilogy] , and they were first labelled as one by U.S. critic Richard Roud .
Q3025689	https://en.wikipedia.org/wiki?curid=1065486	The Roman Mysteries	17	3	0.492598	numterm	In 2008 a sequel [trilogy] for young adults was proposed , with the main characters being Jonathan 's 14-year-old orphaned twin nephews .
Q2524893	https://en.wikipedia.org/wiki?curid=15117333	The Blood Opera Sequence	3	3	0.285269	cardinal	The series consists of [three] novels : `` Dark Dance '' , `` Personal Darkness '' , and `` Darkness , I '' .
Q4295482	https://en.wikipedia.org/wiki?curid=2181603	Dayworld (trilogy)	3	3	0.552382	numterm	Dayworld is a [trilogy] of science fiction novels by Philip José Farmer , inspired by his own acclaimed short story `` The Sliced-Crosswise Only-On-Tuesday World '' .
Q17147603	https://en.wikipedia.org/wiki?curid=8663142	The Sundering (series)	2	2	0.712366	numterm	The Sundering is a [duology] of fantasy novels by Jacqueline Carey made up of `` Banewreaker '' , and `` Godslayer '' .
Q3153785	https://en.wikipedia.org/wiki?curid=42615540	Dutch Interiors	3	3	0.600695	cardinal	The Dutch interiors are a series of [three] paintings painted by Joan Miró in 1928 , each inspired by Dutch Golden Age paintings of Dutch interiors .
Q7883942	https://en.wikipedia.org/wiki?curid=27717268	Underworld Trilogy	3	3	0.739921	numterm	Underworld [Trilogy] is a drama/thriller television series produced by Vertigo Production in 2010 .
