tp	11	Q10954865	2	8	1	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
tp	29	Q10876845	2	8	2	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
tp	11	Q7980444	3	2	2	_num_	CD	NUMBER	committee	_YES_	_YES_/0.807210	O/0.192627	_COMP_/0.000163	_YES_/0.807210
tp	13	Q14189672	2	8	2	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
tp	12	Q11180842	3	8	2	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
tp	60	Q11091933	2	8	2	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
tp	10	Q11127125	2	8	2	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
fn	2	Q3391107	3	3	2	_num_	CD	NUMBER	community	_YES_	O/0.918581	O/0.918581	_COMP_/0.000373	_YES_/0.081046
tp	35	Q11116297	2	8	3	_num_	CD	NUMBER	community	_YES_	_YES_/0.942052	O/0.057849	_COMP_/0.000099	_YES_/0.942052
tp	5	Q11086123	3	3	5	_num_	CD	NUMBER	community	_YES_	_YES_/0.624047	O/0.375849	_COMP_/0.000104	_YES_/0.624047
fn	13	Q2791716	2	14	5	_num_	CD	NUMBER	community	_YES_	O/0.980372	O/0.980372	_COMP_/0.000317	_YES_/0.019311
tp	13	Q2791716	3	2	5	_num_	CD	NUMBER	community	_YES_	_YES_/0.557099	O/0.441997	_COMP_/0.000904	_YES_/0.557099
fp	6	Q641	248	7	5	_num_	CD	NUMBER	borough	O	O/0.616037	O/0.616037	_COMP_/0.000418	_YES_/0.383545
fn	6	Q341056	5	8	6	_num_	CD	NUMBER	area	_YES_	O/0.853708	O/0.853708	_COMP_/0.000143	_YES_/0.146149
tp	6	Q641	162	11	6	_num_	CD	NUMBER	borough	_YES_	O/0.755541	O/0.755541	_COMP_/0.000145	_YES_/0.244314
tp	7	Q2656857	2	3	7	_num_	CD	NUMBER	village	_YES_	_YES_/0.920073	O/0.079876	_COMP_/0.000052	_YES_/0.920073
tp	10	Q11127125	2	5	8	_num_	CD	NUMBER	village	_YES_	_YES_/0.942806	O/0.057132	_COMP_/0.000062	_YES_/0.942806
tp	13	Q2791716	2	18	8	_num_	CD	NUMBER	village	_YES_	O/0.584981	O/0.584981	_COMP_/0.000126	_YES_/0.414892
tp	13	Q2791716	3	6	8	_num_	CD	NUMBER	village	_YES_	_YES_/0.741409	O/0.258281	_COMP_/0.000310	_YES_/0.741409
tp	9	Q11049264	2	5	9	_num_	CD	NUMBER	village	_YES_	_YES_/0.966190	O/0.033768	_COMP_/0.000042	_YES_/0.966190
tp	11	Q7980444	3	6	9	_num_	CD	NUMBER	committee	_YES_	O/0.723458	O/0.723458	_COMP_/0.000091	_YES_/0.276451
tp	12	Q14195308	2	5	10	_num_	CD	NUMBER	village	_YES_	_YES_/0.942805	O/0.057133	_COMP_/0.000062	_YES_/0.942805
tp	11	Q10954865	2	5	10	_num_	CD	NUMBER	village	_YES_	_YES_/0.942806	O/0.057132	_COMP_/0.000062	_YES_/0.942806
tp	12	Q11180842	3	5	10	_num_	CD	NUMBER	village	_YES_	_YES_/0.942806	O/0.057132	_COMP_/0.000062	_YES_/0.942806
tp	10	Q14293034	3	3	10	_num_	CD	NUMBER	village	_YES_	_YES_/0.920073	O/0.079876	_COMP_/0.000052	_YES_/0.920073
tp	47	Q10952596	2	6	10	_num_	CD	NUMBER	village	_YES_	_YES_/0.818116	O/0.181564	_COMP_/0.000320	_YES_/0.818116
fp	12	Q5926062	2	5	11	_num_	CD	NUMBER	village	O	_YES_/0.526349	O/0.473501	_COMP_/0.000150	_YES_/0.526349
tp	13	Q14189672	2	5	11	_num_	CD	NUMBER	village	_YES_	_YES_/0.942806	O/0.057132	_COMP_/0.000062	_YES_/0.942806
tp	11	Q404369	53	2	11	_num_	CD	NUMBER	barangay	_YES_	_YES_/0.952687	O/0.047274	_COMP_/0.000040	_YES_/0.952687
fn	11	Q404369	116	25	11	_num_	CD	NUMBER	barangay	_YES_	O/0.931577	O/0.931577	_COMP_/0.000063	_YES_/0.068360
tp	12	Q316474	4	2	12	_num_	CD	NUMBER	barangay	_YES_	_YES_/0.966715	O/0.033179	_COMP_/0.000106	_YES_/0.966715
tp	12	Q10924037	2	5	12	_num_	CD	NUMBER	village	_YES_	_YES_/0.966190	O/0.033768	_COMP_/0.000042	_YES_/0.966190
tp	12	Q4881475	2	3	12	_num_	CD	NUMBER	village	_YES_	_YES_/0.920073	O/0.079876	_COMP_/0.000052	_YES_/0.920073
tp	12	Q11090189	2	5	12	_num_	CD	NUMBER	village	_YES_	_YES_/0.966190	O/0.033768	_COMP_/0.000042	_YES_/0.966190
tp	13	Q14189091	2	5	13	_num_	CD	NUMBER	village	_YES_	_YES_/0.929766	O/0.070166	_COMP_/0.000068	_YES_/0.929766
tp	14	Q174305	3	3	14	_num_	CD	NUMBER	barangay	_YES_	_YES_/0.966715	O/0.033179	_COMP_/0.000106	_YES_/0.966715
